X,Y,name,lat,lon,descr,length (m),route_names,walking_distances,shortest_walking_distance
-117.9175425,34.1739974,,34.173997400000019,-117.917542500000039,start,1193.830545529461688,"185(Foothill Transit),187(Foothill Transit),494(Foothill Transit),185(Foothill Transit),187(Foothill Transit),494(Foothill Transit),","7.754,7.754,7.754,7.792,7.792,7.792,",7.754
-117.9142905,34.171788,,34.171787999999992,-117.914290499999993,end,1193.830545529461688,"185(Foothill Transit),187(Foothill Transit),494(Foothill Transit),185(Foothill Transit),187(Foothill Transit),494(Foothill Transit),185(Foothill Transit),187(Foothill Transit),494(Foothill Transit),","7.709,7.709,7.709,8.02,8.02,8.02,7.747,7.747,7.747,",7.709
-118.4494271,34.3558312,,34.355831200000011,-118.449427099999980,start,3727.373596855462893,"224(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),224(Los Angeles County Metropolitan Transportation Authority),","5.039,5.053,5.286,",5.039
-118.4322748,34.341569,,34.341568999999993,-118.432274800000030,end,3727.373596855462893,"234(Los Angeles County Metropolitan Transportation Authority),234(Los Angeles County Metropolitan Transportation Authority),234(Los Angeles County Metropolitan Transportation Authority),","5.694,5.493,5.524,",5.493
-118.1326882,34.2168931,,34.216893099999993,-118.132688200000018,start,191.854381649557922,"260(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),258(Los Angeles County Metropolitan Transportation Authority),180/181(Los Angeles County Metropolitan Transportation Authority),","3.065,3.62,3.62,3.439,",3.065
-118.1313207,34.217512,,34.217511999999999,-118.131320699999989,end,191.854381649557922,"180/181(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),687/686(Los Angeles County Metropolitan Transportation Authority),","3.409,3.595,3.48,",3.409
-117.6631695,34.3815055,,34.381505500000003,-117.663169499999981,start,280.503439893782058,"20(Victor Valley Transit Authority),","7.097,",7.097
-117.6611956,34.3800822,,34.380082200000004,-117.661195599999985,end,280.503439893782058,"20(Victor Valley Transit Authority),","7.252,",7.252
-118.314285,34.2876056,,34.287605600000006,-118.314284999999998,start,1534.174309237049783,"90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),Commuter Express 409(Los Angeles Department of Transportation),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),","4.032,4.032,4.057,4.057,4.057,",4.032
-118.3079697,34.2841532,,34.284153199999992,-118.307969700000015,end,1534.174309237049783,"Commuter Express 409(Los Angeles Department of Transportation),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),Commuter Express 409(Los Angeles Department of Transportation),","4.807,4.816,4.816,4.829,",4.807
-118.372256,34.2959544,,34.295954400000028,-118.372256000000007,start,427.895540416160486,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.394,3.409,4.156,",3.394
-118.3719749,34.2963722,,34.296372200000008,-118.371974899999984,end,427.895540416160486,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.45,3.465,4.212,",3.45
-117.6559799,34.3783281,,34.378328099999976,-117.655979899999963,start,45.295710279054148,"20(Victor Valley Transit Authority),","7.821,",7.821
-117.6555609,34.3784878,,34.378487800000016,-117.655560900000012,end,45.295710279054148,"20(Victor Valley Transit Authority),","7.812,",7.812
-118.1329657,34.216957,,34.216956999999979,-118.132965700000014,start,1239.819944887185784,"260(Los Angeles County Metropolitan Transportation Authority),260(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),258(Los Angeles County Metropolitan Transportation Authority),","3.094,3.106,3.648,3.648,",3.094
-118.1304775,34.2173073,,34.217307300000016,-118.130477499999998,end,1239.819944887185784,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),180/181(Los Angeles County Metropolitan Transportation Authority),","3.512,3.527,3.326,",3.326
-118.3042669,34.2798934,,34.279893399999992,-118.304266900000030,start,406.095315715680783,"90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","2.958,2.958,2.862,2.766,",2.766
-118.3005192,34.2808678,,34.280867800000010,-118.300519200000011,end,406.095315715680783,"222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","2.765,2.772,2.772,2.739,",2.739
-118.192287811,34.247821715,,34.247821714999986,-118.192287811000028,start,349.098897152985899,"3(Glendale Beeline),32(Glendale Beeline),33(Glendale Beeline),34(Glendale Beeline),3(Glendale Beeline),32(Glendale Beeline),33(Glendale Beeline),34(Glendale Beeline),3(Glendale Beeline),32(Glendale Beeline),33(Glendale Beeline),34(Glendale Beeline),","7.958,7.958,7.958,7.958,7.734,7.734,7.734,7.734,8.026,8.026,8.026,8.026,",7.734
-118.3745539,34.2957889,,34.295788899999991,-118.374553900000038,start,47.247946415462096,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.092,3.108,3.55,",3.092
-118.3740836,34.2959594,,34.295959400000015,-118.374083600000020,end,47.247946415462096,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.525,3.067,3.54,",3.067
-118.3257765,34.2809656,,34.280965600000002,-118.325776500000018,start,34.293784637976081,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","4.388,4.431,4.086,",4.086
