lat,lon,route_names,walking_distances
34.2131321,-118.1217025,"267/264(Los Angeles County Metropolitan Transportation Authority),","3.627,"
34.1792654738755,-118.059672613283,"268(Los Angeles County Metropolitan Transportation Authority),487/489(Los Angeles County Metropolitan Transportation Authority),268(Los Angeles County Metropolitan Transportation Authority),487/489(Los Angeles County Metropolitan Transportation Authority),268(Los Angeles County Metropolitan Transportation Authority),487/489(Los Angeles County Metropolitan Transportation Authority),","3.009,3.009,3.016,3.016,3.22,3.22,"
34.1817396,-118.0586386,"268(Los Angeles County Metropolitan Transportation Authority),487/489(Los Angeles County Metropolitan Transportation Authority),","3.931,3.931,"
34.2185709,-118.1606254,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","3.602,3.616,3.864,"
34.2112034,-118.1681884,"52(Pasadena Transit),3(Glendale Beeline),32(Glendale Beeline),33(Glendale Beeline),177(Los Angeles County Metropolitan Transportation Authority),268(Los Angeles County Metropolitan Transportation Authority),","2.418,2.434,2.434,2.434,2.422,2.422,"
34.212347,-118.1664498,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","2.425,2.439,2.688,"
34.216957,-118.1329657,"260(Los Angeles County Metropolitan Transportation Authority),260(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),258(Los Angeles County Metropolitan Transportation Authority),","3.094,3.106,3.648,3.648,"
34.2619016,-118.2755498,"90/91(Los Angeles County Metropolitan Transportation Authority),Commuter Express 409(Los Angeles Department of Transportation),90/91(Los Angeles County Metropolitan Transportation Authority),","2.196,2.194,2.225,"
34.2532884,-118.2526859,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.135,3.117,3.133,"
34.2074189549637,-118.124962168794,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","3.007,2.994,2.515,"
34.21299,-118.166422,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","2.537,2.551,2.8,"
34.2801786,-118.302532,"222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),","2.725,2.698,2.731,2.731,"
34.2801786,-118.302532,"222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),","2.725,2.698,2.731,2.731,"
34.1954573,-118.1116506,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","1.358,1.387,1.668,"
34.2142105,-118.1647955,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","2.773,2.787,3.035,"
34.2817683,-118.308755,"Commuter Express 409(Los Angeles Department of Transportation),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),Commuter Express 409(Los Angeles Department of Transportation),","3.096,3.106,3.106,3.119,"
34.2803436,-118.3031212,"222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),","2.76,2.83,2.925,2.925,"
34.2789228,-118.3155881,"90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),Commuter Express 409(Los Angeles Department of Transportation),Commuter Express 409(Los Angeles Department of Transportation),","2.587,2.587,2.613,2.632,"
34.3508286,-118.4252951,"230(Los Angeles County Metropolitan Transportation Authority),234(Los Angeles County Metropolitan Transportation Authority),","3.871,3.871,"
34.2949439,-118.3786885,"233(Los Angeles County Metropolitan Transportation Authority),233(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","2.299,2.528,2.617,"
34.2182673,-118.1396015,"260(Los Angeles County Metropolitan Transportation Authority),260(Los Angeles County Metropolitan Transportation Authority),260(Los Angeles County Metropolitan Transportation Authority),","3.591,3.603,3.85,"
34.2144471,-118.1443204,"260(Los Angeles County Metropolitan Transportation Authority),260(Los Angeles County Metropolitan Transportation Authority),260(Los Angeles County Metropolitan Transportation Authority),","2.318,2.305,2.565,"
34.281686,-118.2985988,"222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","2.876,2.882,2.882,2.849,"
34.2918296244007,-118.360301970855,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.593,3.562,3.156,"
34.2798825,-118.3219169,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.566,3.618,3.623,"
34.2803505868799,-118.304978903477,"90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),222(Los Angeles County Metropolitan Transportation Authority),","2.991,2.991,2.896,3.115,3.115,"
34.2126483,-118.121535,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","4.009,3.571,"
34.2123513,-118.1213308,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","4.005,3.989,3.55,"
34.1968181,-118.1150897,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),","1.075,1.113,1.128,"
34.2173073,-118.1304775,"267/264(Los Angeles County Metropolitan Transportation Authority),267/264(Los Angeles County Metropolitan Transportation Authority),180/181(Los Angeles County Metropolitan Transportation Authority),","3.512,3.527,3.326,"
34.1665262,-117.8315585,"851(Foothill Transit),851(Foothill Transit),","2.66,3.155,"
34.2959594,-118.3740836,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.525,3.067,3.54,"
34.2798059,-118.3247703,"90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),90/91(Los Angeles County Metropolitan Transportation Authority),","3.678,3.375,3.72,"
